RadiusFromCore,Density,Pressure,VelocityMagnitude
1.0708,1.34979e+06,134779,0.0280124
1.1068,32310.5,3031.05,0.0293731
1.13013,635028,63302.8,0.0289741
1.06171,2.83816e+06,283616,0.0297391
1.11325,727842,72584.2,0.027023
1.10217,387730,38573,0.0295746
1.094,159723,15772.3,0.0304785
1.11998,128379,12637.9,0.0333622
1.08016,2.03441e+06,203241,0.0269841
1.07701,87716.4,8571.64,0.0286117
1.08919,332551,33055.1,0.0288477
1.09459,228444,22644.4,0.0333167
1.09394,183019,18101.9,0.0292149
1.09706,871215,86921.5,0.0256095
1.07094,2.38484e+06,238284,0.0307615
1.09771,371795,36979.5,0.0273346
1.08087,686135,68413.5,0.0262997
1.15238,33229.1,3122.91,0.0293903
1.14575,39317.1,3731.71,0.0293503
1.0916,843489,84148.9,0.0294297
1.10112,24604.2,2260.42,0.0271758
1.13347,359722,35772.2,0.0313038
1.08219,332607,33060.7,0.0240144
1.08922,1.19046e+06,118846,0.0288671
1.07437,1.83635e+06,183435,0.0302127
1.1116,121276,11927.6,0.029282
1.11136,614589,61258.9,0.0277281
1.1104,28918.6,2691.86,0.0273195
1.08663,243584,24158.4,0.0315843
1.13651,106749,10474.9,0.0304734
1.07031,968177,96617.7,0.0311305
1.07563,389373,38737.3,0.0287555
1.08637,269837,26783.7,0.0285884
1.1141,190877,18887.7,0.0313623
1.11717,40850.5,3885.05,0.0305499
1.06327,2.38698e+06,238498,0.0309766
1.08511,71583.5,6958.35,0.0298488
1.14783,26411.4,2441.15,0.0279661
1.07514,1.38345e+06,138145,0.0292247
1.08427,1.13312e+06,113112,0.02825
1.11469,136436,13443.6,0.0299962
1.10379,972402,97040.2,0.0311608
1.09067,994603,99260.3,0.0312513
1.08161,1.44221e+06,144021,0.0315156
1.09008,1.04072e+06,103872,0.0299597
1.10394,96028.5,9402.85,0.0300995
1.0898,56595.3,5459.53,0.0318528
1.10241,1.24467e+06,124267,0.0292386
1.07118,2.46908e+06,246708,0.0289915
1.14413,78248.2,7624.82,0.0331425
1.07836,300133,29813.3,0.0335303
1.09908,40043.8,3804.38,0.029503
1.0921,158985,15698.5,0.0245794
1.1135,403746,40174.6,0.0302352
1.07547,1.13342e+06,113142,0.0292033
1.13791,193773,19177.3,0.0289908
1.07902,2.04153e+06,203953,0.029869
1.13687,202368,20036.8,0.0328319
1.11664,251705,24970.5,0.0299116
1.08933,295259,29325.9,0.0285437
1.0856,29350.4,2735.04,0.0287742
1.10674,400532,39853.2,0.0318329
1.07183,516868,51486.8,0.0294291
1.06423,1.95202e+06,195002,0.0303909
1.05888,311940,30994,0.0300233
1.09284,1.17912e+06,117712,0.0290596
1.12029,445208,44320.8,0.0305207
1.11049,456496,45449.6,0.0322236
1.09683,644952,64295.2,0.0325911
1.11404,223990,22199,0.0330094
1.10547,915957,91395.7,0.0316029
1.12473,33604.7,3160.47,0.0292473
1.11894,199058,19705.8,0.0291819
1.09234,709677,70767.7,0.031659
1.06885,1.06239e+06,106039,0.0286641
1.09827,251652,24965.2,0.0323856
1.14261,36201.7,3420.17,0.0284331
1.13413,238886,23688.6,0.0303766
1.11467,576853,57485.3,0.0308553
1.10367,311667,30966.7,0.0301606
1.10215,98455.4,9645.54,0.024772
1.10017,79777.6,7777.76,0.028924
1.08295,1.23635e+06,123435,0.0319836
1.07349,1.97982e+06,197782,0.0304137
1.10607,775473,77347.3,0.0298847
1.11087,110708,10870.8,0.036313
1.08081,570683,56868.3,0.0314454
1.12423,90222.3,8822.23,0.0266026
1.08765,301512,29951.2,0.0281534
1.08552,790442,78844.2,0.0315345
1.13567,257551,25555.1,0.032385
1.13382,125296,12329.6,0.0322778
1.11512,60931.3,5893.13,0.0306323
1.10186,346159,34415.9,0.0374206
1.08271,1.13024e+06,112824,0.0294847
1.06021,3.54502e+06,354302,0.0298872
1.06427,2.06307e+06,206107,0.0295675
1.12284,61547,5954.7,0.0309663
1.07339,1.93544e+06,193344,0.0294031
